chatId,authorName,avatar,content,attachments,embeds,date,referenceMessage,referenceMessageDate,referenceMessageAuthor
1479957112888103002,weyj4,https://cdn.discordapp.com/avatars/307196884605337600/1b01a596fe8ced104cf2fba8950d8be1.png,"noob question but are there optimizations you can make in C++ that aren't possible to implement in triton? I guess at that point it's like, are you smarter than whoever wrote the triton compiler?",,,2026/03/07 13:41,,,
1479957137731096806,marksaroufim,https://cdn.discordapp.com/avatars/325883680419610631/e8c7897262bec5319d2bc8ebf5eecf4c.png,"this isn't right btw, FA4 was written in cute DSL",,,2026/03/07 13:41,"what i said in general a second ago:
> im finding it hard to justify not using triton rn because FA4 was written in triton and came out earlier this week and what, im gonna think i know better than tri dao?",2026-03-07T21:40:50.818000+00:00,whoahyi
1479957168156577883,whoahyi,https://cdn.discordapp.com/avatars/151884808555986944/61e20fa5f54eaf1b96469858b716d2c4.png,oh really,,,2026/03/07 13:41,,,
1479957171767611496,weyj4,https://cdn.discordapp.com/avatars/307196884605337600/1b01a596fe8ced104cf2fba8950d8be1.png,are there lots of instances of people beating triton implementations with raw C++,,,2026/03/07 13:41,,,
1479957177379586369,whoahyi,https://cdn.discordapp.com/avatars/151884808555986944/61e20fa5f54eaf1b96469858b716d2c4.png,thats embarassing,,,2026/03/07 13:41,,,
1479957235261116590,lynn4400,https://cdn.discordapp.com/avatars/272374415453454337/4b59d6e44f3d715f160ec93c58b120f5.png,fa4 i think there is some implementation for b200 in gluon but i might be wrong,,,2026/03/07 13:41,,,
1479957249043595529,marksaroufim,https://cdn.discordapp.com/avatars/325883680419610631/e8c7897262bec5319d2bc8ebf5eecf4c.png,"yes, browse any of the top submissions on gpumode.com for the past amd competitions, the best submissions were almost always hip",,,2026/03/07 13:41,are there lots of instances of people beating triton implementations with raw C++,2026-03-07T21:41:26.024000+00:00,weyj4
1479957380887347240,lynn4400,https://cdn.discordapp.com/avatars/272374415453454337/4b59d6e44f3d715f160ec93c58b120f5.png,maybe we ll get gluon dialect in 2026 for amd :)) i know they are working on it,,,2026/03/07 13:42,,,
1479957764381085889,marksaroufim,https://cdn.discordapp.com/avatars/325883680419610631/e8c7897262bec5319d2bc8ebf5eecf4c.png,they have something,,,2026/03/07 13:43,,,
1479957810551722056,marksaroufim,https://cdn.discordapp.com/avatars/325883680419610631/e8c7897262bec5319d2bc8ebf5eecf4c.png,https://github.com/ROCm/FlyDSL,,"Title: GitHub - ROCm/FlyDSL
Description: Contribute to ROCm/FlyDSL development by creating an account on GitHub.",2026/03/07 13:43,,,
